Timestamp,Date,Date UTC,Open,High,Low,Close,Volume
1721827800,24-07-2024,1721827800,224,224.8,222.84,222.87,2203688
1721828100,24-07-2024,1721828100,222.88,223.12,221.23,221.45,1545741
1721828400,24-07-2024,1721828400,221.41,221.82,221.1,221.26,1046032
1721828700,24-07-2024,1721828700,221.27,221.38,220.7,221.03,1239752
1721829000,24-07-2024,1721829000,221.02,221.87,220.88,221.82,879286
1721829300,24-07-2024,1721829300,221.86,221.88,220.8,221.28,770879
1721829600,24-07-2024,1721829600,221.28,221.41,220.3,220.55,989994
1721829900,24-07-2024,1721829900,220.55,221.07,220.48,221.06,585838
1721830200,24-07-2024,1721830200,221.06,221.32,220.54,220.64,627790
1721830500,24-07-2024,1721830500,220.61,221.16,220.57,220.91,490435
1721830800,24-07-2024,1721830800,220.92,220.98,220.57,220.82,390044
1721831100,24-07-2024,1721831100,220.81,220.96,220.54,220.89,401805
1721831400,24-07-2024,1721831400,220.9,221.03,220.31,220.33,499392
1721831700,24-07-2024,1721831700,220.32,220.44,220.03,220.08,805350
1721832000,24-07-2024,1721832000,220.06,220.21,219.36,219.49,1177692
1721832300,24-07-2024,1721832300,219.5,219.65,219.14,219.26,903869
1721832600,24-07-2024,1721832600,219.25,219.35,218.8,218.89,887329
1721832900,24-07-2024,1721832900,218.89,219.22,218.83,218.83,617547
1721833200,24-07-2024,1721833200,218.86,219.15,218.7,219.11,864988
1721833500,24-07-2024,1721833500,219.1,219.19,218.81,218.84,327623
1721833800,24-07-2024,1721833800,218.63,218.77,218.36,218.36,1520946
1721834100,24-07-2024,1721834100,218.38,218.62,218.29,218.52,652697
1721834400,24-07-2024,1721834400,218.51,218.78,218.4,218.45,486587
1721834700,24-07-2024,1721834700,218.43,218.85,218.39,218.68,478203
1721835000,24-07-2024,1721835000,218.67,218.84,218.6,218.71,657855
1721835300,24-07-2024,1721835300,218.71,218.79,218.43,218.5,466890
1721835600,24-07-2024,1721835600,218.48,218.49,218.13,218.4,525692
1721835900,24-07-2024,1721835900,218.41,218.6,218.36,218.55,366299
1721836200,24-07-2024,1721836200,218.55,218.7,218.41,218.65,472569
1721836500,24-07-2024,1721836500,218.65,218.66,218.02,218.04,435088
1721836800,24-07-2024,1721836800,218.04,218.04,217.21,217.29,999148
1721837100,24-07-2024,1721837100,217.29,217.68,217.13,217.6,564697
1721837400,24-07-2024,1721837400,217.58,217.89,217.55,217.87,444597
1721837700,24-07-2024,1721837700,217.88,218.06,217.75,217.96,472032
1721838000,24-07-2024,1721838000,217.97,218.06,217.84,218,539975
1721838300,24-07-2024,1721838300,218.03,218.09,217.79,217.9,327018
